Compiled on Saturday, 28 June 2025 11:03:52 a.m.
Version string: SE2025.0.250627.18.07.EX

ImageFrame Data Size: 1178
Actor Count: 7
Actor Data Size: 1260
Animations Count: 17
Animations Data Size: 272
AnimationFrame Count: 56
AnimationFrame Data Size: 896

=== Data Sizes ===
    Size | Crunch | Detail
      12 |        | Map path node data for level09
      12 |        | Map path node data for level10
      12 |        | Map path node data for level11
      12 |        | Map path node data for level12
      12 |        | Map path node data for level99
      12 |  (58%) | Map actor data for level99
      12 |        | Commands for Joystick 1
       8 |        | Teleporters
       6 |        | Pattern data for 14
       6 | (100%) | Map block data for level99
       2 |        | Misc Data (paths, hurt boxes etc)

=== Accounted Memory Usage ===
(Note that this isn't a full account of memory usage, just the memory we can account for)
RAM reserved for level tiles: (largest level: level09): 5040
memory reserved for active actors on screen (32): 4616
memory reserved for dormant actors in map (128): 4608

Total: 14264 bytes

=== Codeblocks by compiled size ===
try_push_block: 670
load_level: 610
block_stop: 466
set_yresolution: 390 (Unused?)
pre_startup: 360
flipscreen_smooth: 310 (Unused?)
load_next_level: 292 (Unused?)
do_teleport: 280
flipxymove: 278 (Unused?)
try_present_hit_target: 270
block_find: 206 (Unused?)
waitforframes: 194
block_exit_level: 188
restartlevel: 182
block_count: 178
check_talkpad: 172 (Unused?)
flipymove: 162 (Unused?)
pre_quit: 160 (Unused?)
snap_to_screen: 158 (Unused?)
restart_this_level: 148 (Unused?)
flipxmove: 142 (Unused?)
pause: 138 (Unused?)
load_panel: 134
unload_level: 130
AUTOGEN_OUTOFSCREEN_try_next_level_try_next_level_try_next_level_try_next_level: 130
destroy_all_blocks: 128 (Unused?)
pre_load_level: 122
rudolph_at_exit: 114
convert_present_to_block: 112
try_crush_reindeer: 110
fadein: 108
unload_panel: 102
waitforfireup: 102
waitforfiredown: 98
load_panel_bottom: 96 (Unused?)
load_panel_top: 96 (Unused?)
convert_block_to_present: 96
destroy_child_actors: 94 (Unused?)
present_down: 94
present_left: 94
present_right: 94
santa_update_handler: 90
waitforfirehit: 86
puff_of_smoke_end: 80
fadeout: 76
load_music_finish: 76
wrap_screen_bottom: 76 (Unused?)
wrap_screen_right: 76 (Unused?)
startup: 76
flipscreen: 72 (Unused?)
wrap_screen_left: 72 (Unused?)
wrap_screen_top: 72 (Unused?)
load_music: 70
jump_actor: 66 (Unused?)
freeze_test: 62 (Unused?)
destroy_all_actors: 60 (Unused?)
go_to_next_level: 60
destroy_actor: 58
change_to_puff: 58
moving_block_collision: 58
santa_hit_fire: 58
AUTOGEN_OUTOFSCREEN_None_None_None_restartlevel: 54
destroy_block: 52 (Unused?)
return: 52 (Unused?)
autogen_anim_smoke_puff_0: 52
autogen_santa_jump_l_0: 52
load_panel_finish: 50
unload_panel_bottom: 50
unload_panel_top: 50
try_next_level: 50
resume_movement: 46
freeze_actor: 40
quit: 40 (Unused?)
unfreeze_actor: 40 (Unused?)
autogen_rudolph_falling_l_0: 38
fall_straight_down: 38
block_coll_force: 32 (Unused?)
block_coll_passthru: 32
clear_block_collision: 32
vm_registers: 26 (Unused?)
debug_breakpoint: 26 (Unused?)
set_ntsc: 26
vm_constants_tile_properties: 26 (Unused?)
